Date,Open,High,Low,Close,Volume,trade_value
2017/6/29,128.41,129.01,127.45,127.88,137755,5760.5
2017/6/30,127.58,128.21,126.65,127.89,85102,4542.4
2017/7/3,127.9,128.63,127.78,128.63,69325,3955.2
2017/7/4,128.42,128.71,127.75,127.77,82737,4423.6
2017/7/5,127.79,128.62,127.59,128.62,74392,4061.1
2017/7/6,128.63,128.64,127.91,128.17,86413,4257.5
2017/7/7,128.36,128.39,127.69,127.94,89915,5299.1
2017/7/10,127.95,128.32,126.84,127.1,88268,5856.1
2017/7/11,125.63,125.96,125.26,125.91,109086,7134.2
2017/7/12,125.26,125.42,124.72,125.14,87816,5766.0
2017/7/13,125.2,125.97,125.2,125.83,107792,6693.1
2017/7/14,125.87,126.01,125.31,125.58,81971,5258.9
2017/7/17,125.61,126.31,125.59,125.92,101957,6987.7
2017/7/18,125.97,126.97,125.69,126.72,104152,6369.2
2017/7/19,126.67,127.26,126.04,126.52,108767,8435.3
2017/7/20,126.56,126.9,125.88,126.28,110132,8429.6
2017/7/21,123.68,124.12,123.0,123.0,109171,7617.8
2017/7/24,123.03,123.45,122.65,123.37,77080,5278.9
2017/7/25,123.39,123.8,122.76,123.0,82933,5340.8
2017/7/26,123.29,123.68,122.87,123.21,102979,7751.0
2017/7/27,123.28,123.82,123.01,123.81,89347,6752.8
2017/7/28,123.81,124.09,123.09,123.37,107591,9641.8
2017/7/31,123.41,123.54,122.7,122.95,89079,6405.0
2017/8/1,123.18,123.44,122.87,123.06,99351,7146.7
2017/8/2,123.41,123.58,122.77,123.23,101160,6675.6
2017/8/3,122.82,123.03,122.18,122.63,92208,6109.9
2017/8/4,122.7,123.09,122.41,122.89,94145,5699.7
2017/8/7,122.86,123.07,122.49,122.57,106601,5698.2
2017/8/8,122.62,123.08,122.22,122.56,87915,5040.8
2017/8/9,122.59,122.7,121.98,122.07,86348,4843.0
2017/8/10,122.02,122.41,121.35,121.59,114721,6523.2
2017/8/11,121.57,121.74,120.94,121.42,87753,4832.7
2017/8/14,121.72,121.99,120.51,120.56,107509,5906.8
2017/8/15,120.61,121.35,120.52,121.17,87008,5107.9
2017/8/16,121.12,121.5,120.77,121.43,95085,5554.5
2017/8/17,121.48,121.75,121.08,121.69,95118,4768.7
2017/8/18,121.88,121.88,120.98,121.21,76325,4049.8
2017/8/21,121.47,121.54,120.86,121.21,65915,3117.7
2017/8/22,121.28,122.09,121.23,121.64,120019,5924.3
2017/8/23,121.7,122.41,121.65,122.05,137983,6987.7
2017/8/24,122.1,122.6,121.96,122.36,124571,6774.4
2017/8/25,122.47,123.0,122.35,122.69,111855,5799.9
2017/8/28,122.73,123.32,122.7,123.32,96403,5762.7
2017/8/29,123.31,123.31,122.58,123.09,103257,5389.4
2017/8/30,123.2,123.62,123.01,123.35,105777,5884.1
2017/8/31,123.42,123.76,122.88,123.76,100545,5892.3
2017/9/1,123.52,124.14,123.47,123.82,133697,7536.0
2017/9/4,123.84,124.08,123.4,123.82,87375,5075.6
2017/9/5,123.96,124.18,123.45,123.86,124207,7053.5
2017/9/6,123.79,124.35,123.21,123.32,147917,8035.5
2017/9/7,123.06,123.78,122.61,123.01,132335,7158.9
2017/9/8,123.25,123.75,122.82,123.75,97423,5433.3
2017/9/11,123.5,123.94,123.23,123.31,136151,5832.6
2017/9/12,123.69,124.2,123.54,123.57,185517,7789.1
2017/9/13,123.66,124.43,123.55,123.61,140671,7769.1
2017/9/14,123.6,123.81,123.15,123.48,102821,6382.3
2017/9/15,123.5,123.99,123.17,123.99,142992,7443.7
2017/9/18,123.75,124.16,123.39,123.42,95930,5115.3
2017/9/19,123.46,123.71,122.94,123.43,109147,5071.5
